team,confederation,fifa_rank,elo_rating,coach,avg_squad_age,squad_value_million_eur,world_cup_titles,world_cup_appearances,tier
France,UEFA,2,1978.8,W. Regragui,26.5,831.8,2,17,tier1
Brazil,CONMEBOL,3,1974.8,M. Yakin,28.1,937.4,5,14,tier1
Argentina,CONMEBOL,1,1978.3,J. Nagelsmann,27.8,743.9,3,19,tier1
England,UEFA,4,1975.9,M. Pochettino,27.7,896.0,1,2,tier1
Spain,UEFA,6,1973.8,D. Deschamps,26.3,865.7,1,21,tier1
Portugal,UEFA,5,1948.3,L. Spalletti,27.1,934.5,0,1,tier1
Belgium,UEFA,8,1916.4,W. Regragui,25.3,952.0,0,10,tier1
Netherlands,UEFA,7,1906.8,D. Tedesco,25.4,949.3,0,7,tier1
Germany,UEFA,9,1820.4,M. Yakin,26.8,459.3,4,18,tier2
Italy,UEFA,10,1828.0,N. Lorenzo,27.5,455.4,4,3,tier2
Croatia,UEFA,11,1810.9,J. Nagelsmann,26.1,412.4,0,15,tier2
Uruguay,CONMEBOL,12,1798.5,L. de la Fuente,25.3,527.5,2,3,tier2
Colombia,CONMEBOL,13,1802.4,Z. Dalic,27.3,506.9,0,14,tier2
Denmark,UEFA,16,1791.6,L. Spalletti,27.4,425.3,0,17,tier2
Morocco,CAF,14,1814.8,R. Koeman,27.7,434.7,0,10,tier2
United States,CONCACAF,17,1775.7,R. Koeman,26.0,354.3,0,1,tier2
Switzerland,UEFA,15,1775.3,B. Hjulmand,27.2,461.4,0,2,tier2
Mexico,CONCACAF,19,1779.5,J. Berhalter,27.2,485.7,0,11,tier2
Senegal,CAF,21,1711.7,R. Martinez,27.5,145.3,0,17,tier3
Japan,AFC,18,1727.4,L. de la Fuente,26.4,85.0,0,7,tier3
South Korea,AFC,20,1692.2,R. Koeman,27.1,147.6,0,21,tier3
Ukraine,UEFA,25,1696.9,R. Martinez,28.7,200.9,0,14,tier3
Austria,UEFA,23,1689.3,Z. Dalic,24.5,225.8,0,4,tier3
Ecuador,CONMEBOL,22,1697.2,J. Nagelsmann,27.7,81.8,0,19,tier3
Serbia,UEFA,26,1682.7,T. Tuchel,25.6,145.9,0,13,tier3
Poland,UEFA,24,1679.4,M. Yakin,28.4,286.8,0,1,tier3
Iran,AFC,28,1677.0,D. Deschamps,29.3,453.1,0,2,tier3
Australia,AFC,30,1651.6,Z. Dalic,26.9,155.0,0,10,tier3
Wales,UEFA,31,1649.1,R. Martinez,28.0,232.6,0,1,tier3
Canada,CONCACAF,27,1634.3,M. Bielsa,26.2,102.3,0,13,tier3
Qatar,AFC,37,1612.1,M. Pochettino,26.3,132.9,0,19,tier4
Nigeria,CAF,33,1614.0,R. Koeman,25.8,15.2,0,3,tier4
Tunisia,CAF,29,1602.0,R. Martinez,25.8,105.7,0,3,tier4
Egypt,CAF,32,1634.8,Z. Dalic,25.4,177.1,0,8,tier4
Peru,CONMEBOL,40,1602.6,M. Yakin,28.5,21.4,0,4,tier4
Algeria,CAF,34,1602.0,N. Lorenzo,26.3,106.7,0,7,tier4
Panama,CONCACAF,36,1585.5,R. Koeman,28.0,144.3,0,14,tier4
Chile,CONMEBOL,39,1589.1,R. Koeman,26.5,96.9,0,21,tier4
Saudi Arabia,AFC,35,1591.1,Z. Dalic,24.8,15.0,0,1,tier4
Costa Rica,CONCACAF,38,1572.5,L. Scaloni,24.6,242.1,0,20,tier4
Turkey,UEFA,42,1577.7,M. Yakin,25.3,83.3,0,13,tier4
Scotland,UEFA,41,1536.0,R. Martinez,27.4,15.0,0,3,tier4
Uzbekistan,AFC,44,1496.8,R. Martinez,26.3,15.0,0,21,tier5
Jamaica,CONCACAF,46,1499.1,T. Tuchel,25.3,17.0,0,13,tier5
New Zealand,OFC,45,1488.5,D. Ancelotti,25.0,47.2,0,14,tier5
Jordan,AFC,43,1476.8,B. Hjulmand,25.8,15.0,0,3,tier5
Curacao,CONCACAF,47,1475.3,M. Pochettino,28.2,15.0,0,1,tier5
Cape Verde,CAF,48,1462.8,R. Koeman,25.0,15.0,0,12,tier5
